SNO,NAME,ENGLISH,SCIENCE,SOCIAL,MATHS,TOTAL,AVERAGE,RESULT,GRADE
1,Rahul PA,87,50,60,60,257,64.25,PASS,FIRSTCLASS
2,Hakeem,82,55,62,62,261,65.25,PASS,FIRSTCLASS
3, Saran,85,60,64,64,273,68.25,PASS,FIRSTCLASS
4,Simran,74,65,66,66,271,67.75,PASS,FIRSTCLASS
5,Ishan,72,70,68,68,278,69.5,PASS,FIRSTCLASS
6,Aryan,80,75,70,70,295,73.75,PASS,DISTINCTION
7,Ronald,81,80,72,72,305,76.25,PASS,DISTINCTION
8,Arun PS,92,85,74,74,325,81.25,PASS,DISTINCTION
9,Yadhav,97,90,76,76,339,84.75,PASS,DISTINCTION
10,Kalidas,94,95,78,78,345,86.25,PASS,DISTINCTION
11, Joe,90,80,80,80,330,82.5,PASS,DISTINCTION
12,Zachary,45,75,82,82,284,71,PASS,DISTINCTION
13,Gopal,64,70,84,84,302,75.5,PASS,DISTINCTION
14, Prasad,81,65,86,86,318,79.5,PASS,DISTINCTION
15,Tom,80,60,88,88,316,79,PASS,DISTINCTION
